,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""abuse"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. To use something or someone for one's own benefit, often in a way that is harmful or exploitative. For example: ""He abused his power by taking bribes.""
2. To treat someone with cruelty or violence, often physically or emotionally. For example: ""She was abused by her ex-husband for years.""
3. To misuse or pervert something, such as a substance or a privilege. For example: ""He abused his prescription medication by taking it in larger quantities than prescribed.""
4. To use something excessively or improperly, such as a resource or a privilege. For example: ""They abused their company credit card by charging personal expenses.""
5. To speak or act in a way that is insulting or disrespectful. For example: ""He abused the employee with a string of profanity.""
6. To manipulate or deceive someone for personal gain. For example: ""She was abused by her business partner, who stole her ideas and passed them off as his own.""

I hope that helps! Let me know if you have any other questions.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support a decision or action: ""The board of directors approved the new marketing strategy.""
2. To give official sanction or permission: ""The mayor approved the construction of a new park in the city.""
3. To give one's consent or agreement: ""I approved the proposal after careful consideration.""
4. To ratify or confirm an agreement or decision: ""The shareholders approved the merger by a majority vote.""
5. To examine and verify the accuracy of something: ""The committee approved the reports before they were submitted to the board.""
6. To give a seal of approval to something, indicating that it meets certain standards or criteria: ""The certification body approved the product after thorough testing.""
7. To endorse or support someone for a position or role: ""The board approved John for the position of CEO.""
8. To grant a license or permit: ""The government approved the company's request for a mining permit.""
9. To accept or confirm the validity of something: ""The court approved the plea agreement.""
10. To express satisfaction or contentment with something: ""I approved of the restaurant's atmosphere and service.""

Note that some of these senses may be more common or relevant in certain contexts than others, and some may overlap or have subtle shades of meaning.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""beat"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Defeat or overcome: ""The team beat their opponents in the championship game.""
2. Physical assault: ""He beat his opponent in a fistfight.""
3. Music: ""The drummer beat out a rhythm on his drums.""
4. Cooking: ""She beat the eggs until they were smooth.""
5. Emotion: ""He was so happy that he could have beat his heart.""
6. Travel: ""They beat their way through the crowded streets.""
7. Time: ""The clock beat midnight.""
8. Competition: ""Their entry beat all the others in the contest.""
9. Miscegenation: ""Interracial couples were beaten by society.""
10. Overcome an addiction: ""He finally beat his smoking habit after years of trying.""

Note that some of these senses may be more common or acceptable than others, depending on the context and the cultural context. Additionally, some senses may be more figurative or idiomatic than others.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""belt"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Fasten or secure with a belt: In this sense, ""belt"" is used to describe the act of fastening or securing something with a belt, such as a person putting on a belt around their waist.
2. Inflict a heavy blow with a belt: This sense of ""belt"" is more violent, and refers to the act of hitting someone with a belt, often as a form of punishment or discipline.
3. Beat or outdo someone in a competition: In this sense, ""belt"" is used to describe the act of winning or outdoing someone in a competition, such as a boxer winning a championship belt.
4. Travel or move at high speed: In this sense, ""belt"" is used to describe the act of moving or traveling at high speed, such as a car traveling along a highway at high speed.
5. Wear a belt as part of an outfit: This sense of ""belt"" is more fashion-oriented, and refers to the act of wearing a belt as part of an outfit or style, such as a man wearing a leather belt with his jeans.
6. To finish or complete something: In this sense, ""belt"" is used to describe the act of finishing or completing something, such as a person belting out a song before the end of a performance.

I hope that helps! Let me know if you have any other questions.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""break"" has several distinct senses when it is used in a transitive clause. Here are some of the most common ones:

1. To shatter or destroy something physically: ""She broke the vase.""
2. To interrupt or disrupt something: ""He broke the silence.""
3. To cause something to stop functioning or malfunction: ""The break in the circuit caused the machine to stop working.""
4. To separate or divide something: ""She broke the piece of candy into two pieces.""
5. To cause something to change or cease: ""The news broke his spirit.""
6. To cause something to become less rigid or formal: ""The teacher broke the ice by telling a joke.""
7. To cause something to become more popular or widespread: ""The new song broke out as a hit on the radio.""
8. To cause something to become less restrictive or limiting: ""The new policy broke down the barriers to entry.""

These are just a few of the possible senses of the verb ""break"" when it is used in a transitive clause. Depending on the context and the specific meaning of the sentence, there may be other senses as well.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a software program
	* Examples: ""We are building a new office building."" ""I'm building a new computer."" ""They are building an app for tracking expenses.""
2. improve or enhance something, such as a skill or a relationship
	* Examples: ""She's been building her communication skills by taking classes."" ""They are building their relationship by spending more time together.""
3. accumulate or compile something, such as wealth, knowledge, or experience
	* Examples: ""He's been building his fortune by investing in stocks."" ""She's been building her expertise in data analysis.""
4. establish or solidify something, such as a reputation or a system
	* Examples: ""They are building a strong reputation for delivering high-quality products."" ""The company is building a new supply chain to improve efficiency.""
5. expand or increase something, such as a business or a community
	* Examples: ""They are building a new branch of their business in a new city."" ""She's been building a community of like-minded individuals online.""
6. create or form something, such as a plan or a habit
	* Examples: ""They are building a plan to launch a new product."" ""She's been building a habit of exercising every morning.""
7. strengthen or increase something, such as a structure or a relationship
	* Examples: ""They are building a stronger foundation for their business."" ""She's been building a stronger connection with her team.""
8. assemble or put together something, such as a product or a team
	* Examples: ""They are building a new product from scratch."" ""She's been building a team of experts to help her launch her business.""

I hope this helps! Let me know if you have any other questions.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""burn"" has several distinct senses when it is used in a transitive clause. Here are some of them:

1. To consume or destroy by fire: ""The fire burned down the entire forest.""
2. To char or scorch: ""The flames burned the flesh of the victims.""
3. To heat or cook by applying heat: ""She burned the roast beef to a perfect medium rare.""
4. To cause a strong emotion or feeling: ""The betrayal burned a hole in her heart.""
5. To use up or exhaust: ""He burned through his savings on a lavish vacation.""
6. To perform a task or activity with intense focus or effort: ""She burned the midnight oil to meet the deadline.""
7. To physically or metaphorically move quickly or fiercely: ""The athlete burned around the track, leaving the competition in the dust.""
8. To cause a substance to undergo a chemical reaction: ""The chemist burned the chemicals together to create a new compound.""
9. To subject someone to intense criticism or ridicule: ""The comedian burned the politician with a series of biting jokes.""
10. To use drugs, particularly cocaine, by burning them and inhaling the fumes: ""He burned a line of coke and snorted it up his nose.""

I hope that helps! Let me know if you have any other questions.</s>"
9,button,,monosemous
