,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. To use something or someone for one's own advantage, often to the detriment of the user or the thing being used.
Example sentence: ""The company has been accused of abusing their power by laying off employees without proper notice.""
2. To treat someone with cruelty or violence, often physically or emotionally.
Example sentence: ""The abusive husband constantly beat and belittled his wife.""
3. To use drugs or substances in a way that is harmful or excessive.
Example sentence: ""The addict abused prescription painkillers, leading to a near-fatal overdose.""
4. To misuse or misapply something, such as a resource or a concept.
Example sentence: ""The politician was accused of abusing her position by using government funds for personal gain.""
5. To speak or act in a way that is disrespectful or offensive, particularly towards someone weaker or less powerful.
Example sentence: ""The bully abused his power by taunting and intimidating his classmates.""

Note that some of these senses can overlap or be related, such as the use of drugs being both harmful and excessive, or the misuse of power being both unfair and harmful. However, each sense has its own distinct connotations and implications, and they can all stand alone as unique meanings of the verb 'abuse' in a transitive clause.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally, often after examining evidence or considering different options.

Example sentence: The committee approved the proposal after lengthy discussions.

2. To express favor or agreement, often enthusiastically or warmly.

Example sentence: My parents approved of my decision to study abroad.

3. To give permission or consent, often after evaluating the merits or potential risks of a proposal.

Example sentence: The CEO approved the budget for the new marketing campaign.

4. To be in favor of or support a particular policy, rule, or action, often after considering multiple perspectives.

Example sentence: The board of directors approved the new company policy aimed at improving employee well-being.

5. To certify or authenticate something, often after reviewing its quality or accuracy.

Example sentence: The quality control team approved the shipment of goods only after checking their quality.

Note that these senses are not mutually exclusive, and the verb 'approve' can convey different shades of meaning depending on the context. However, each sense listed above can stand alone and does not depend on being the synonym of some other verb.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'beat' when it is found in a transitive clause:

1. To overcome or surpass (something or someone): ""She beat her personal best time in the marathon.""
2. To physically strike or hit something or someone: ""He beat the drum with all his might.""
3. To cook or prepare food by striking it repeatedly with a utensil: ""She beat the eggs until they were smooth.""
4. To be superior to (someone or something) in a competition or challenge: ""Her team beat the opposing team in the championship game.""
5. To be faster or more efficient than (someone or something): ""The new computer beat the old one in terms of speed and performance.""
6. To repeatedly and forcefully strike a surface or object with a part of the body, often as a form of expression or celebration: ""The fans beat their chests and yelled when their team scored a goal.""
7. To overcome or triumph over (a challenge or obstacle): ""She beat the odds and graduated at the top of her class.""

These senses of ""beat"" are distinct and can stand alone, without relying on being a synonym for some other verb. Each sense has its own unique connotations and uses, and they can all be used in different contexts depending on the situation and the intended meaning.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'belt' when it is found in a transitive clause:

1. Fasten or secure with a belt: In this sense, 'belt' refers to the act of attaching or holding something in place with a belt or a similar device. For example: ""She belted her coat to keep it from blowing away.""
2. Strike or hit with a belt: In this sense, 'belt' refers to the act of hitting someone or something with a belt, often as a form of punishment or discipline. For example: ""The teacher belted the student for talking out of turn.""
3. Surround or enclose with a belt: In this sense, 'belt' refers to the act of surrounding or enclosing something with a belt or a similar device. For example: ""The city was belted by a ring of highways.""
4. Travel or move at high speed: In this sense, 'belt' refers to the act of moving or traveling at high speed, often using a vehicle such as a vehicle or a train. For example: ""The train belted across the countryside.""
5. Beat or outdo in a competition: In this sense, 'belt' refers to the act of winning or outdoing someone in a competition or contest. For example: ""He belted his opponent in the wrestling match.""

Note that these senses are not mutually exclusive, and 'belt' can have multiple meanings depending on the context in which it is used.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. To shatter or shake apart: This sense of break emphasizes the idea of something being physically damaged or disintegrating, such as breaking a glass or breaking a toy.

Example sentence: She broke the vase, and now it's in pieces.

2. To interrupt or disrupt: In this sense, break can refer to interrupting a process, conversation, or activity, such as breaking a spell or breaking a routine.

Example sentence: The sudden noise broke the silence of the library.

3. To divorce or separate: This sense of break emphasizes the idea of a relationship coming to an end, such as breaking up with a partner or breaking a marriage.

Example sentence: They decided to break up after three years of dating.

4. To expose or reveal: In this sense, break can refer to uncovering information or a hidden truth, such as breaking a secret or breaking a code.

Example sentence: The investigative journalist broke the story about the government's corruption.

5. To overcome or overcome a barrier or obstacle: This sense of break emphasizes the idea of overcoming an obstacle or challenge, such as breaking a record or breaking a habit.

Example sentence: She worked hard to break the world record in swimming.

6. To dilute or weaken: In this sense, break can refer to reducing the strength or purity of something, such as breaking a promise or breaking a rule.

Example sentence: The politician was accused of breaking his campaign promises.

7. To cause to malfunction or fail: This sense of break emphasizes the idea of something ceasing to function properly, such as breaking a computer or breaking a machine.

Example sentence: The old car broke down on the side of the road.

Each of these senses of the verb 'break' can stand alone and does not depend on being the synonym of any other verb. They are distinct and unique meanings that can be used in different contexts to convey different ideas.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. Construct or create something, such as a building, a machine, or a rapport. This sense is the most common and can be used in a variety of contexts, such as ""The company is building a new headquarters"" or ""She is building a career in law.""
2. Improve or enhance something, such as a skill or a relationship. This sense is often used in the phrase ""build on"" or ""build up,"" as in ""He built on his success by taking on new challenges"" or ""The team built up their confidence with each win.""
3. Establish or strengthen a foundation or base, such as a physical structure or a theory. This sense is often used in the phrase ""build a foundation"" or ""build on a solid base,"" as in ""The company is building a new headquarters on a solid foundation"" or ""The scientist built on previous research to develop a new theory.""
4. Develop or create something over time, such as a project or a reputation. This sense is often used in the phrase ""build over time"" or ""build slowly,"" as in ""The business built over time, gaining more customers and revenue"" or ""Her reputation as a thought leader built slowly but surely.""
5. Use or apply a skill or ability to achieve a goal, such as building a house or a relationship. This sense is often used in the phrase ""build something"" or ""build towards,"" as in ""He is building a house with his own two hands"" or ""The team is building towards a championship win.""

I hope that helps! Let me know if you have any further questions or if there's anything else I can help with.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'burn' when it is found in a transitive clause:

1. To consume or destroy by fire: ""The fire burned the wooden table to ashes.""
2. To cause intense heat or a fiery sensation: ""The spicy dish burned my tongue.""
3. To char or scorch something: ""The sun burned the grass, turning it brown.""
4. To burn with a strong emotion or passion: ""Her eyes burned with anger as she confronted her nemesis.""
5. To use up or expend something, such as energy or resources: ""He burned through his savings on a lavish vacation.""
6. To have a strong desire or craving for something: ""She burns to travel the world and experience new cultures.""
7. To be extremely skilled or talented at something: ""He burns the dance floor with his moves.""
8. To have a burning sensation or pain: ""The hot water burned my hand.""
9. To be very successful or popular: ""The new restaurant burned up the charts and became a sensation.""
10. To be consumed or overcome by a particular feeling or emotion: ""She burned with love for her new partner.""

Note that some of these senses may overlap or be related, but they all represent distinct meanings of the verb ""burn"" in a transitive clause.</s>"
9,button,,monosemous
