,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. Misuse or mistreat something or someone, often for personal gain or to achieve a desired outcome. This sense of abuse can refer to physical, emotional, or sexual abuse, as well as the misuse of power, authority, or resources.
2. Use something or someone in a way that is excessive or unnecessary, often resulting in harm or damage. This sense of abuse can refer to overusing a substance, such as drugs or alcohol, or using a resource, such as money or time, in an unnecessary or excessive manner.
3. Use something or someone for a purpose other than what it was intended for. This sense of abuse can refer to using a tool or machine for a purpose other than its intended function, or using a skill or talent for a purpose other than its intended use.
4. Take advantage of a situation or person for personal gain, often at the expense of others. This sense of abuse can refer to taking advantage of a vulnerable person, exploiting a situation for personal gain, or using a situation or resource for personal benefit without regard for the consequences or impact on others.
5. (Idiomatic) To subject someone to unfair or unjust treatment, often in a deliberate or malicious manner. This sense of abuse is often used to describe situations where someone is being treated unfairly or with disrespect, such as in a workplace or social setting.

It's worth noting that these senses of abuse are not mutually exclusive, and the verb can take on multiple senses depending on the context in which it is used. Additionally, the connotations of each sense of abuse can vary depending on the context and the specific situation in which the verb is used.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally, often after examining evidence or considering different options.

Example sentence: The committee approved the proposal after careful consideration.

2. To express agreement or satisfaction with something, often after tasting or experiencing it.

Example sentence: The food critic approved of the new restaurant's dishes.

3. To give permission or consent to something, often after evaluating the potential risks and benefits.

Example sentence: The parent approved the teenager's plan to attend the concert.

4. To accept or ratify a decision or action, often after discussing it with others.

Example sentence: The board of directors approved the company's new strategy.

5. To show appreciation or satisfaction with someone's work or performance, often after observing or reviewing it.

Example sentence: The teacher approved of the student's presentation.

Note that these senses of 'approve' can stand alone and do not depend on being the synonym of any other verb.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""beat"" when it is found in a transitive clause:

1. Defeat, conquer, or overcome: In this sense, ""beat"" means to gain victory over someone or something, either physically or metaphorically. For example, ""The team beat their opponents in the final match.""
2. Physically assault or strike: In this sense, ""beat"" means to physically harm or injure someone, often with a weapon or by using one's fists. For example, ""The attacker beat the victim with a stick.""
3. Soundly defeat or outperform: In this sense, ""beat"" means to greatly surpass or outdo someone in a competition or evaluation. For example, ""The new smartphone beat its competitors in terms of sales.""
4. Overwhelm or exhaust: In this sense, ""beat"" means to physically or mentally exhaust someone, often to the point of collapse. For example, ""The heat beat down on the runners, causing them to become dehydrated.""
5. Cook or prepare by striking or shaking: In this sense, ""beat"" means to mix or blend ingredients by striking or shaking them, often in a bowl or pan. For example, ""She beat the eggs and sugar together to make a cake.""

All of these senses of ""beat"" can stand alone and do not depend on being the synonym of any other verb.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""belt"" when it is found in a transitive clause:

1. Fasten or secure with a belt: This sense of ""belt"" is the most common and refers to the act of attaching or fastening something with a belt, such as a waistbelt or a seatbelt.
2. Inflict a severe beating on someone: This sense of ""belt"" is less common and refers to the act of physically assaulting someone with a belt or any other object, often resulting in injury.
3. Convey or transmit (something) with a belt: This sense of ""belt"" is more figurative and refers to the act of transmitting or conveying something, such as a message or a signal, using a belt or a similar object.
4. Surround or encircle with a belt: This sense of ""belt"" is also figurative and refers to the act of surrounding or encircling something with a belt or a similar object, often to indicate possession or control.
5. Use a belt as a weapon: This sense of ""belt"" is more idiomatic and refers to the act of using a belt as a weapon, often in a physical altercation or a fight.

I hope these senses help you understand the versatility of the verb ""belt"" in transitive clauses!</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. shatter or smash something into pieces (e.g. ""She broke the vase"").
2. cause something to stop functioning or malfunction (e.g. ""The computer broke down and we had to restart it"").
3. interrupt or disrupt a connection or continuity (e.g. ""The phone call broke up just as we were about to discuss the details"").
4. cause someone to stop doing something or to abandon a plan (e.g. ""The news broke his spirit and he gave up on his dream"").
5. release or set someone free from a restriction or obligation (e.g. ""The judge broke the prisoner's sentence and let him go early"").
6. divide or separate something into parts (e.g. ""The company broke up into smaller teams to work on different projects"").
7. cause someone to lose their concentration or composure (e.g. ""The unexpected question broke his train of thought and he struggled to recover"").
8. cause a rule or law to be violated (e.g. ""The new policy broke the previous record for the highest sales"").

Note that some of these senses may be more common or acceptable than others, depending on the context and the specific situation. Additionally, some senses may overlap or have similar connotations, but they are distinct and can be used in different situations.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a system, by combining parts or materials.
2. establish or develop something, such as a business, a community, or a reputation, by laying a foundation or adding components.
3. improve or enhance something, such as a skill, a relationship, or a system, by adding new elements or refining existing ones.
4. create or assemble something from scratch, using one's own ideas or resources.
5. develop or erect a structure, such as a house, a bridge, or a dam, using materials such as wood, steel, or concrete.

These senses of 'build' are distinct and can stand alone, without relying on other verbs or senses to convey their meaning. Each sense describes a different aspect of the act of building, whether it be the physical creation of something, the establishment of something new, the improvement of something existing, or the creation of something from scratch.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'burn' when it is found in a transitive clause:

1. Consume or destroy by fire: ""The fire burned the wooden table to ashes.""
2. Cause intense heat or pain: ""The hot sauce burned my tongue.""
3. Use up or exhaust a resource: ""I've been burning the midnight oil to meet the deadline.""
4. Embarrass or shame someone: ""His mistake burned him in front of his colleagues.""
5. Convert or transform something into a different form: ""The company burned its old data to make way for new software.""

Note that some of these senses can also be used as intransitive verbs, but I have only listed the transitive senses here. Additionally, there may be other nuances or subtleties to the verb ""burn"" depending on the context in which it is used, but these five senses cover the most common and distinct possible meanings.</s>"
9,button,,monosemous
