,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. Misuse or mistreat (something or someone) intentionally or neglectfully.
Example: ""She accused her ex-boyfriend of abusing her emotionally.""
2. Use something or someone for one's own benefit, often to the detriment of others.
Example: ""The corporation was accused of abusing its monopolistic power to suppress competition.""
3. Overuse or exhaust a resource, such as a substance or a person.
Example: ""The company was accused of abusing the city's water supply.""
4. Use coercive or manipulative tactics to dominate or control someone.
Example: ""The abusive partner threatened to leave if the victim did not comply with their demands.""
5. Treat someone with disrespect or cruelty, often through physical or emotional harm.
Example: ""The bully abused the victim both verbally and physically.""

Note that some of these senses can overlap or be interchangeable in certain contexts, but they are distinct enough to be listed separately.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. Endorse or support something or someone officially or formally.

Example: The board of directors approved the new marketing strategy.

2. Give permission or consent to something or someone.

Example: The parent approved the child's request to go to the party.

3. Show satisfaction or agreement with something or someone.

Example: The teacher approved of the student's project.

4. Confirm or verify something or someone as satisfactory or adequate.

Example: The quality control team approved the new product design.

5. Give a positive evaluation or assessment of something or someone.

Example: The critic approved of the restaurant's culinary skills.

6. Give a seal of approval to something or someone, indicating that it meets certain standards or criteria.

Example: The certification body approved the company's quality management system.

7. Give permission for something to happen or be done.

Example: The government approved the construction of the new highway.

8. Give a nod of approval to something or someone, indicating that it is acceptable or satisfactory.

Example: The boss approved the employee's proposal with a nod.

Note that some of these senses may be more common or acceptable than others, depending on the context and register of the language.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""beat"" when it is found in a transitive clause:

1. defeat: to win a competition or conflict by being better or more successful

Example sentence: ""The home team beat the visiting team in the championship game.""

2. exhaust: to tire or exhaust someone or something by subjecting them to physical or mental effort

Example sentence: ""The long hike beat me down, and I was exhausted by the end.""

3. overcome: to conquer or get the better of something or someone

Example sentence: ""The new medication beat the disease, and the patient made a full recovery.""

4. speed: to move at a faster pace than someone or something else

Example sentence: ""The race car beat the other cars to the finish line by a nose.""

5. stir or mix: to beat something until it is well-mixed or blended

Example sentence: ""She beat the eggs until they were smooth and creamy.""

6. toil or labor: to beat or work hard at something

Example sentence: ""He beat the ground all day to plant the crops.""

7. to thrash or whip: to beat someone or something severely or violently

Example sentence: ""The storm beat down on the city with heavy rain and strong winds.""

8. to wear out: to beat or use something until it is worn out or no longer usable

Example sentence: ""The old car was beaten and worn out from years of use.""

These are just a few of the possible senses of the verb ""beat"" when it is found in a transitive clause. Depending on the context, there may be other senses or nuances of the word that could be identified as well.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""belt"" when it is found in a transitive clause:

1. Fasten or secure with a belt: This sense of ""belt"" is used when the verb is followed by a noun that is being held in place by a belt, such as ""belt around your waist"" or ""belt the box to the car.""
2. Beat or strike with a belt: This sense of ""belt"" is used when the verb is followed by a noun that is being struck or whipped with a belt, such as ""belt the child"" or ""belt the car with a branch.""
3. Wear a belt: This sense of ""belt"" is used when the verb is followed by a noun that is being worn around the waist, such as ""belt your pants"" or ""belt your dress.""
4. Give a stern warning or reprimand: This sense of ""belt"" is used when the verb is followed by a noun that is being scolded or reprimanded, such as ""belt the teacher"" or ""belt the student.""
5. Use a belt to restrain or hold back: This sense of ""belt"" is used when the verb is followed by a noun that is being held back or restrained by a belt, such as ""belt the dog"" or ""belt the horse.""
6. Use a belt as a tool or weapon: This sense of ""belt"" is used when the verb is followed by a noun that is being used as a tool or weapon, such as ""belt a hammer"" or ""belt a sword.""
7. Move quickly and with force: This sense of ""belt"" is used when the verb is followed by a noun that is being moved quickly and with force, such as ""belt across the room"" or ""belt down the street.""
8. Be very good at something: This sense of ""belt"" is used when the verb is followed by a noun that is being excelled at, such as ""belt a song"" or ""belt a sport.""

I hope that helps! Let me know if you have any other questions.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. shatter or smash something into pieces: ""The vase broke into a million pieces when it fell off the table.""
2. cause something to stop functioning or operating: ""The computer broke down and we had to call a technician to fix it.""
3. interrupt or disrupt something: ""The storm broke the power lines and we were left without electricity for hours.""
4. cause something to separate or divide: ""The tension between the two friends broke their relationship apart.""
5. cause something to change or be transformed: ""The new policy broke the old tradition and introduced a new way of doing things.""
6. cause something to be released or set free: ""The news broke the embargo and the information was made public.""
7. cause something to be broken or damaged: ""The accident broke the car's axle and it had to be replaced.""
8. cause someone to be defeated or conquered: ""The army broke the enemy's defenses and won the battle.""
9. cause someone to be emotionally broken or distraught: ""The news broke her heart and she was left devastated.""
10. cause something to be interrupted or discontinued: ""The strike broke the production line and the factory had to shut down.""

Note that some of these senses may be more common or acceptable than others, depending on the context and the specific situation. Additionally, some senses may overlap or have subtle shades of meaning that are not always clearly distinguishable.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a system
	* Examples:
		+ The company is building a new headquarters.
		+ She built a treehouse for her children.
		+ They are building a new app for their business.
2. improve or enhance something, such as a skill or a relationship
	* Examples:
		+ He is building his leadership skills through training and experience.
		+ They are building their relationship by spending more time together.
		+ The team is building on their success from last season.
3. create or establish something as a foundation or basis
	* Examples:
		+ The company is building a strong foundation for their new product.
		+ She is building her reputation as an expert in her field.
		+ They are building a new system from scratch.
4. assemble or collect something, such as a piece of furniture or a set of tools
	* Examples:
		+ He is building a new bookshelf from wood and nails.
		+ She is building a toolkit for her DIY projects.
		+ They are building a collection of rare books for their library.
5. grow or develop something, such as a business or a community
	* Examples:
		+ The company is building a strong customer base.
		+ She is building a community of like-minded individuals.
		+ They are building a sustainable business model.
6. create or establish something as a structure or framework
	* Examples:
		+ The company is building a new organizational structure.
		+ She is building a framework for her research project.
		+ They are building a plan for their vacation.
7. repair or restore something, such as a machine or a relationship
	* Examples:
		+ He is building a new engine for his car.
		+ She is building a new relationship with her estranged sister.
		+ They are building a new partnership with a supplier.
8. create or perform something, such as a work of art or a musical composition
	*"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""burn"" when it is found in a transitive clause:

1. Consume or destroy by fire: ""The fire burned down the old warehouse.""
2. Cause intense heat or light: ""The sun burned brightly in the sky.""
3. Use up or exhaust: ""The engine burned through all the fuel.""
4. Sear or char the skin: ""The sunburn burned her skin.""
5. Experience strong emotions: ""She burned with anger.""
6. Use up or consume all available resources: ""The company burned through its budget.""
7. Cause a substance to undergo a chemical reaction: ""The acid burned the metal.""
8. Pass time quickly: ""The hours burned by as we worked on the project.""
9. Have a strong desire or passion: ""He burns with ambition.""
10. Be extremely good or successful: ""Her performance burned up the stage.""

I hope that helps! Let me know if you have any other questions.</s>"
9,button,,monosemous
10,cast,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'cast' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'cast' when it is found in a transitive clause:

1. To project or throw something, such as a line, a spell, or a shadow: ""She cast her fishing line into the water.""
2. To assign a role or part to someone: ""He was cast as the lead in the play.""
3. To set or form something, such as a mold or a shape: ""She cast a bronze sculpture.""
4. To predict or prognose something, such as a future event or outcome: ""The fortune teller cast a spell to see our future.""
5. To choose or select someone or something, such as in an election or a competition: ""The public cast their votes for their favorite candidate.""
6. To attribute or assign a quality or characteristic to someone or something: ""The critics cast the movie as a masterpiece.""
7. To transmit or broadcast something, such as a message or a signal: ""The news was cast over the radio waves.""
8. To create or form something, such as a work of art or a written piece: ""She cast a poem about her summer vacation.""
9. To place or locate something, such as a building or a statue, in a particular place: ""The architect cast the hotel in a prime location.""
10. To predict or anticipate a future event or outcome, such as a weather forecast or a financial prediction: ""The meteorologist cast a storm warning for the weekend.""

I hope that helps! Let me know if you have any other questions.</s>"
11,catch,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'catch' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'catch' when it is found in a transitive clause:

1. seize or take hold of something physically: ""She caught the ball.""
2. grasp or understand something intellectually: ""I finally caught on to the concept.""
3. intercept or stop something in motion: ""He caught the thief.""
4. trap or ensnare something or someone: ""The bird caught in the net.""
5. record or capture something, such as an illness or a trend: ""The survey caught the public's mood.""
6. experience or undergo something, such as an emotion or a situation: ""I caught a cold.""
7. observe or notice something: ""I caught a glimpse of the suspect.""
8. fulfill or accomplish something: ""She caught her deadline.""
9. undergo or experience something, such as a change or a transition: ""The company caught a wave of growth.""
10. take hold of or become involved in something, such as a project or a situation: ""They caught the vision for the new initiative.""

I hope that helps! Let me know if you have any other questions or if there's anything else I can help with.</s>"
12,chip,,monosemous
13,chop,,monosemous
14,chuck,,monosemous
15,clean,,monosemous
16,clear,,monosemous
17,coat,,monosemous
