,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. Misuse or mistreat (something or someone) - This sense of abuse refers to the improper or harmful use of something or someone. For example, ""She abused her power by taking bribes.""
2. Harm or injure (someone) physically or emotionally - This sense of abuse refers to inflicting pain, injury, or damage on someone. For example, ""He was abused by his stepfather as a child.""
3. Use something for a purpose other than its intended or proper one - This sense of abuse refers to using something in a way that is not intended or authorized. For example, ""She abused her position by using company funds for personal expenses.""
4. Take advantage of someone or something for personal gain - This sense of abuse refers to exploiting someone or something for one's own benefit, often at the expense of the other party. For example, ""The company was accused of abusing its market dominance to stifle competition.""
5. Speak or act in a disrespectful or offensive manner - This sense of abuse refers to using language or actions that are hurtful or inappropriate. For example, ""The comedian's jokes were criticized for abusing sensitive topics.""

I hope these senses of ""abuse"" in transitive clauses are helpful! Let me know if you have any further questions.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. Endorse or support something or someone officially or formally, often after examining or considering the matter.
Example: The board of directors approved the new marketing strategy.
2. Be in favor of or agree with something or someone, often after considering various options or perspectives.
Example: The committee approved the proposal after lengthy discussion.
3. Confirm or verify the accuracy or validity of something, such as a document or a piece of information.
Example: The auditor approved the financial statements after conducting an audit.
4. Sanction or give permission for something to happen or be done, often after evaluating the potential risks and benefits.
Example: The government approved the construction of a new dam.
5. Express satisfaction or gratification with something, such as a product or a service.
Example: The customer approved the custom-made suit after trying it on.

Note that these senses of 'approve' are distinct and do not depend on the synonyms of other verbs. For example, 'endorse' is a synonym of 'approve' in sense 1, but it is not a synonym of 'approve' in sense 2 or 3 or 4 or 5. Similarly, 'support' is a synonym of 'approve' in sense 1, but it is not a synonym of 'approve' in any of the other senses.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""beat"" when it is found in a transitive clause:

1. defeat: to win a competition or conflict by being better or more successful.
Example: ""The team beat their opponents in the final match.""
2. conquer: to gain control or ownership of something, often through force or effort.
Example: ""The army beat the enemy and took control of the land.""
3. overcome: to surpass or outdo something, often through effort or perseverance.
Example: ""She beat her personal best time in the marathon.""
4. outdo: to excel or perform better than others.
Example: ""The new restaurant beat all the others in the city.""
5. vanquish: to defeat utterly or completely, often in a decisive or final victory.
Example: ""The hero beat the villain and saved the day.""
6. exhaust: to wear out or tire someone or something, often through long or intense effort.
Example: ""The long hike beat us all, and we were exhausted by the end.""
7. crush: to defeat decisively or completely, often in a way that is humiliating or devastating.
Example: ""The team beat their opponents so badly that they were left in tears.""
8. trounce: to defeat decisively or completely, often in a way that is decisive or dominant.
Example: ""The new smartphone trounced all the other brands in sales.""
9. wallop: to defeat or overcome someone or something with great force or effect.
Example: ""The storm walloped the city with heavy rain and strong winds.""

Each of these senses of ""beat"" can stand alone and do not depend on being the synonym of some other verb. They all have different connotations and uses, and can be used in different contexts to convey different meanings.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'belt' when it is found in a transitive clause:

1. Fasten or secure with a belt: This sense of ""belt"" is the most common and refers to the act of attaching or fastening something with a belt or a similar strap. For example, ""She belted her coat to keep it from blowing away.""
2. Hit or strike with a belt: This sense of ""belt"" is more figurative and refers to the act of delivering a hard hit or strike with a belt or a similar object. For example, ""He belted the ball out of the park.""
3. Wear a belt: This sense of ""belt"" is more formal and refers to the act of wearing a belt as a piece of clothing or a fashion accessory. For example, ""He wore a black leather belt with his suit.""
4. Convey or transmit (something) with a belt: This sense of ""belt"" is more abstract and refers to the act of transmitting or conveying something (such as an idea or a message) with a belt or a similar object. For example, ""The message was belted around the world via satellite.""
5. Process or treat (something) with a belt: This sense of ""belt"" is more industrial and refers to the act of processing or treating something (such as food or a material) with a belt or a similar machine. For example, ""The meat was belted through the grinder.""

I hope that helps! Let me know if you have any other questions.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. shatter or smash something into pieces: ""The vase broke into a thousand pieces when it fell off the table.""
2. cause something to no longer function or operate: ""The old computer broke down and we had to buy a new one.""
3. interrupt a connection or continuity: ""The storm broke the power lines and we were left without electricity.""
4. cause someone to stop doing something: ""My parents broke my focus on my studies when they took me on a vacation.""
5. cause someone to fail or be defeated: ""The opposing team broke our defense and scored a goal.""
6. release or discharge something: ""The dam broke and the water flooded the surrounding area.""
7. reveal or expose something: ""The investigation broke the conspiracy and brought the perpetrators to justice.""
8. cause someone to experience a change or transition: ""The news broke me out of my routine and inspired me to try something new.""
9. cause something to be broken or disrupted: ""The construction crew broke the sidewalk and now it's unusable.""
10. cause someone to be separated from something or someone: ""The war broke families apart and many people were left searching for their loved ones.""

Note that these senses are not mutually exclusive, and the same verb can have multiple senses depending on the context in which it is used. Additionally, some senses may have more common or idiomatic uses than others, depending on the language variety and register.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a system, by combining parts or materials.
2. improve or enhance something existing, such as a skill or a relationship, by adding new elements or refining existing ones.
3. establish or strengthen a connection or foundation, such as a network, a reputation, or a base of support.
4. accumulate or grow something, such as wealth, knowledge, or a collection, over time.
5. assemble or put together something, such as a piece of furniture, a puzzle, or a team, by combining individual components.

Each of these senses of 'build' can stand alone and describe a distinct action or process, and they do not depend on being the synonym of some other verb.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". 
Ensure that the sense description(s) can stand alone and do not depend on being the synonym of some other verb. [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'burn' when it is found in a transitive clause:

1. Consume or destroy by fire: ""The fire burned the wooden table to ashes.""
2. Cause intense heat or pain: ""The hot sauce burned my tongue.""
3. Use up or exhaust a resource: ""I've been burning the midnight oil to meet the deadline.""
4. Cause a strong emotion or reaction: ""The insult burned him with anger.""
5. Mark or brand with a hot tool: ""The leather burned with the iron.""

Each of these senses can stand alone and does not depend on being the synonym of some other verb. For example, ""burn"" in sense 1 can be used in a sentence like ""The fire burned the toast to a crisp,"" which is a distinct meaning from ""burn"" in sense 2, ""The teacher burned the wrong answer with a red pen.""</s>"
9,button,,monosemous
