,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""abuse"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. To use something or someone for one's own benefit, often in a way that is harmful or exploitative. For example, ""He abused his power by taking bribes.""
2. To treat someone with cruelty or violence, often physically or emotionally. For example, ""She was abused by her husband for many years.""
3. To use something or someone in a way that is not appropriate or necessary, often resulting in waste or excess. For example, ""He abused his authority by making unnecessary purchases.""
4. To criticize or disparage someone unfairly or maliciously. For example, ""The politician was abused by her opponents during the campaign.""
5. To use a substance or a resource in excess or in a way that is harmful to oneself or others. For example, ""He abused drugs and alcohol for many years.""
6. To take advantage of someone's trust or goodwill for personal gain. For example, ""The con artist abused the elderly woman's kindness by stealing her savings.""
7. To misuse or pervert something, such as a system or an institution, for one's own benefit or pleasure. For example, ""The politicians abused the political system by taking bribes.""
8. To use language or a situation in a way that is misleading or deceitful. For example, ""The salesman abused the truth by making false claims about the product.""

I hope that helps! Let me know if you have any other questions.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally, often after examining evidence or considering different options.

Example sentence: The committee approved the proposal after careful consideration.

2. To give one's assent or agreement to something, often based on personal judgment or evaluation.

Example sentence: She approved of the new marketing strategy, but he had reservations.

3. To show favor or acceptance towards someone or something, often in a social or professional context.

Example sentence: The board of directors approved the new CEO's initiatives with enthusiasm.

4. To confirm or ratify something, such as a decision or action, often after reviewing or examining relevant information.

Example sentence: The senate approved the president's nomination for the Supreme Court.

5. To give permission or consent to something, often after evaluating potential risks or consequences.

Example sentence: The parent approved the teenager's request to go to the concert.

6. To show appreciation or satisfaction with something, often in a formal or official context.

Example sentence: The company approved the final product after a successful trial run.

Note that some of these senses may overlap or have nuanced differences in certain contexts, but these are the main distinct possible senses of the verb 'approve' in a transitive clause.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""beat"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Defeat: In this sense, ""beat"" means to overcome or defeat someone in a competition, fight, or other challenge. Example: ""The team beat their opponents in the final match.""
2. Physically strike: In this sense, ""beat"" means to physically hit or strike someone or something. Example: ""The burglar beat the victim with a stick.""
3. Exhaust: In this sense, ""beat"" means to tire someone out or exhaust them physically or mentally. Example: ""The long hike beat me, and I had to take a break.""
4. Overcome: In this sense, ""beat"" means to successfully overcome an obstacle or challenge. Example: ""She beat the addiction and is now living a healthy life.""
5. Cook: In this sense, ""beat"" refers to the act of mixing or blending ingredients, especially with a utensil such as a whisk or spoon. Example: ""I need to beat the eggs before adding them to the cake batter.""
6. Create rhythm: In this sense, ""beat"" refers to the rhythmic pattern created by the repetition of a certain action or sound. Example: ""The drummer beat out a fast-paced rhythm that got the crowd dancing.""
7. Intimidate or threaten: In this sense, ""beat"" means to scare or intimidate someone, often with the implied threat of physical harm. Example: ""The bully beat up the smaller kid to make him do his homework.""
8. Explore or investigate: In this sense, ""beat"" means to thoroughly explore or investigate a place or topic. Example: ""The detective beat the neighborhood to find clues for the case.""
9. Use up: In this sense, ""beat"" means to use up all the resources or supplies of something. Example: ""I beat the last drop of fuel in my car before refueling.""
10. Boast or brag: In this sense, ""beat"" means to proudly talk about one's accomplishments or possessions to others"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

When the verb ""belt"" is found in a transitive clause, it can have several distinct senses, including:

1. To encircle or girdle something: ""The belt around my waist held my pants up.""
2. To inflict a blow with a belt: ""My parents used to belt me when I was misbehaved.""
3. To decorate or adorn with a belt: ""The designer belted the dress with a wide sash.""
4. To fasten or tighten a belt: ""I had to belt my coat to keep it from blowing away in the wind.""
5. To give a thorough beating or thrashing: ""The boxer belted his opponent with a series of powerful punches.""
6. To convey or transmit (a signal or information) along a cable or other medium: ""The telephone company belted the message to all subscribers.""
7. To perform a specific task or function with great skill or efficiency: ""The team belted out a flawless performance.""
8. To drive or travel in a vehicle at high speed: ""The race car driver belted around the track at over 200 miles per hour.""
9. To experience a sudden or intense excitement or thrill: ""I belted out a loud cheer when my favorite team scored a goal.""
10. To exchange or trade something, often in a casual or informal manner: ""We belted three old books for a new one.""

I hope that helps! Let me know if you have any other questions.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""break"" has several distinct possible senses when it is found in a transitive clause. Here are some of the most common ones:

1. To shatter or shake apart: This sense is often used to describe the physical breaking of objects, such as breaking a glass or breaking a toy. For example: ""She broke the vase.""
2. To interrupt or disrupt: This sense is often used to describe the breaking of a pattern or a routine, or to indicate that something was halted or interrupted. For example: ""The meeting was broken up by the fire alarm.""
3. To separate or divide: This sense is often used to describe the breaking of a whole into smaller parts, or to indicate that something was separated or divided from something else. For example: ""She broke the cookies into pieces.""
4. To overcome or conquer: This sense is often used to describe the breaking of a challenge or an obstacle, or to indicate that someone succeeded in doing something that was difficult. For example: ""He broke the world record.""
5. To reveal or disclose: This sense is often used to describe the breaking of news or information, or to indicate that something was revealed or disclosed that was previously hidden. For example: ""The investigation broke a major scandal.""
6. To change or alter: This sense is often used to describe the breaking of a habit or a routine, or to indicate that something was changed or altered in some way. For example: ""She broke her addiction to smoking.""
7. To damage or harm: This sense is often used to describe the breaking of something in a negative way, such as breaking a bone or breaking a promise. For example: ""He broke his leg in the accident.""
8. To release or set free: This sense is often used to describe the breaking of a bond or a tie, or to indicate that someone was released from a prison or a duty. For example: ""The prisoner was broken out of jail.""

I hope this helps! Let me know if you have any other questions.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a software program
2. assemble or put together parts or components to form a larger whole
3. establish or develop a system, organization, or structure
4. strengthen or improve something, such as a relationship or a skill
5. accumulate or increase something, such as wealth, knowledge, or experience
6. create or form a foundation or base for something
7. set up or organize a system or process
8. enhance or improve the quality of something
9. create or form a network or connection between people or things
10. develop or improve a skill or ability.

I hope that helps! Let me know if you have any other questions.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""burn"" has several distinct possible senses when found in a transitive clause, including:

1. To consume or destroy by fire: ""The fire burned the house to the ground.""
2. To char or scorch something with heat: ""The sun burned the grass with its intense rays.""
3. To cause a strong emotion or sensation: ""The music burned inside her, filling her with joy.""
4. To use up or exhaust something: ""They burned through their budget before the project was finished.""
5. To cause a chemical reaction or change: ""The acid burned the metal, leaving it weakened and rusted.""
6. To have a strong desire or passion for something: ""He burns with ambition to become a successful artist.""
7. To perform a specific action or activity: ""They burned the midnight oil, working late into the night to meet the deadline.""

Each of these senses of the verb ""burn"" conveys a unique meaning and can be used in different contexts depending on the situation.</s>"
9,button,,monosemous
