,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. To use something or someone for one's own benefit, often to the detriment of the user or the thing being used. For example, ""He abused his power by taking bribes.""
2. To treat someone with cruelty or mistreatment, often physically or emotionally. For example, ""She was abused by her stepfather as a child.""
3. To use drugs or other substances in a harmful or excessive manner. For example, ""He abused prescription painkillers and became addicted.""
4. To manipulate or exploit someone for personal gain. For example, ""She was abused by her ex-boyfriend, who controlled her every move.""
5. To misuse or misappropriate something, such as a resource or a position of authority. For example, ""The company was accused of abusing its market dominance by price-fixing.""

Note that some of these senses can overlap or be related, and there may be other possible senses of the verb 'abuse' as well.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally, often after examining evidence or considering different options.

Example sentence: The committee approved the proposal after careful consideration.

2. To express agreement or satisfaction with something, often informally or tacitly.

Example sentence: The teacher approved of the student's presentation, even though it was not perfect.

3. To give permission or consent to something, often after evaluating the potential risks or benefits.

Example sentence: The parent approved the teenager's request to attend the concert.

4. To ratify or confirm something, such as a decision or an action taken by someone else.

Example sentence: The board of directors approved the CEO's proposal for a new marketing strategy.

5. To forgive or pardon someone for a wrongdoing or a mistake, often after considering the circumstances or the person's remorse.

Example sentence: The court approved the defendant's request for probation, taking into account their remorse and cooperation.

Note that these senses are not mutually exclusive, and the verb ""approve"" can have multiple meanings depending on the context in which it is used.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""beat"" when it is found in a transitive clause:

1. Defeat: This sense of ""beat"" refers to winning a competition or conflict. Examples: ""The team beat their opponents in the final match.""
2. Overcome: This sense of ""beat"" means to succeed in doing something difficult or challenging. Examples: ""She beat the odds and graduated at the top of her class.""
3. Physically assault: This sense of ""beat"" refers to using physical violence to harm someone. Examples: ""He beat his wife for hours.""
4. Create a rhythm or pattern: This sense of ""beat"" refers to creating a rhythm or pattern in music or poetry. Examples: ""The drummer beat out a steady rhythm.""
5. Use force or coercion: This sense of ""beat"" refers to using force or coercion to get someone to do something. Examples: ""The police beat the suspect until he confessed.""
6. Exhaust or tire: This sense of ""beat"" refers to wearing someone out or exhausting them. Examples: ""The long hike beat us all down.""
7. Mix or blend: This sense of ""beat"" refers to mixing or blending ingredients together. Examples: ""She beat the eggs and sugar together until they were well combined.""

I hope that helps! Let me know if you have any other questions.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""belt"" when it is found in a transitive clause:

1. Fasten or secure a belt around one's waist: ""She belted her coat to prepare for the cold weather.""
2. Inflict a strong blow or strike with a belt: ""The teacher belted the student for misbehaving.""
3. Travel or move at high speed, especially in an aircraft: ""The plane belted across the Atlantic in record time.""
4. Surround or encircle something with a belt or a band: ""The park was belted by a dense forest.""
5. Endure or withstand a difficult or challenging situation: ""He belted out the last mile of the marathon despite the blistering heat.""

Note that some of these senses may be more common or idiomatic than others, and the specific sense intended by the speaker or writer may depend on the context in which the verb is used.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. To shatter or shake apart: This sense is often used to describe the physical breaking of objects, such as breaking a vase or breaking a toy.

Example sentence: She accidentally broke the vase.

2. To interrupt or disrupt: This sense is often used to describe breaking a pattern or sequence of events, or breaking a rule or law.

Example sentence: The storm broke the heat wave.

3. To separate or divide: This sense is often used to describe breaking something into smaller parts or pieces, such as breaking a cookie into pieces or breaking a record into tracks.

Example sentence: She broke the cookie into pieces and shared them with her friends.

4. To disrupt a connection or relationship: This sense is often used to describe breaking a bond or a link between people or things, such as breaking a promise or breaking a rule.

Example sentence: He broke his engagement to her after he met someone else.

5. To overcome or surpass: This sense is often used to describe breaking a record or a barrier, or breaking a pattern of behavior.

Example sentence: She broke the world record in the 100-meter dash.

6. To cause to stop functioning or operating: This sense is often used to describe breaking a machine or a system, such as breaking a computer or breaking a toy.

Example sentence: The mechanic broke the car's engine beyond repair.

7. To reveal or expose: This sense is often used to describe breaking a secret or a confidentiality, or breaking a code or a cipher.

Example sentence: The whistleblower broke the story about the company's illegal activities.

8. To cause to change or shift: This sense is often used to describe breaking a habit or a pattern of behavior, or breaking a cycle or a trend.

Example sentence: He broke his addiction to smoking after years of trying.

9. To subdue or defeat: This sense is often used to describe breaking an enemy or a competitor, or breaking a resistance or a barrier.

Example sentence: The army broke the enemy's defenses and captured their capital.

10. To cause"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. Construct or create something, such as a building, a bridge, or a machine.
Example: ""They are building a new office tower.""
2. Develop or improve something, such as a skill or a relationship.
Example: ""She is building her confidence in public speaking.""
3. Assemble or put together something, such as a piece of furniture or a machine.
Example: ""He is building a new computer from scratch.""
4. Create or establish something, such as a business or an organization.
Example: ""They are building a successful startup.""
5. Enhance or strengthen something, such as a community or a reputation.
Example: ""She is building a strong network of contacts in the industry.""
6. Form or create something, such as a habit or a routine.
Example: ""They are building a daily exercise routine.""
7. Improve or enhance the quality of something, such as a product or a service.
Example: ""The company is building a reputation for excellent customer service.""
8. Create or establish a connection or relationship between two or more things.
Example: ""The new transportation system is building links between cities.""

I hope that helps! Let me know if you have any further questions.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
Feel free to give only one sense if it only has one possible meaning. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'burn' when it is found in a transitive clause:

1. Consume or destroy by fire: ""The fire burned the wooden table to ashes.""
2. Cause intense heat or pain: ""The hot sauce burned my tongue.""
3. Use up or exhaust a resource: ""I've been burning the midnight oil to meet the deadline.""
4. Embarrass or shame someone: ""His mistake burned him in front of his colleagues.""
5. Convert or transform something into a different form: ""The company burned its old data to make way for new software.""
6. Experience a strong emotion: ""She burned with anger when her ex-boyfriend cheated on her.""
7. Move quickly and intensely: ""The runner burned down the track, breaking the record.""
8. Use up or deplete a supply of something: ""We've been burning through our savings to pay for the medical bills.""

Note that some of these senses may be more common or acceptable than others, depending on the context and register of the language.</s>"
9,button,,monosemous
