,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'abuse' when it is found in a transitive clause:

1. To use something or someone for one's own benefit, often to the detriment of the user or the thing being used.
Example: She abused her power by taking bribes.
2. To treat someone with cruelty or violence, often physically or emotionally.
Example: He abused his wife and children.
3. To use something or someone in a way that is not intended or proper, often resulting in damage or harm.
Example: The company abused their market dominance by engaging in anti-competitive practices.
4. To exaggerate or misuse something, often for comedic effect.
Example: He abused the company's expense account to buy a new computer.
5. To use something or someone sexually, often in a non-consensual or harmful manner.
Example: He was accused of abusing his position of power to coerce women into sexual acts.
6. To use drugs or other substances excessively or in a harmful way.
Example: She abused prescription painkillers to cope with her chronic pain.
7. To manipulate or take advantage of someone, often financially.
Example: He was accused of abusing his elderly mother's trust to gain control of her assets.
8. To use language or media in a hurtful or offensive way.
Example: The comedian was accused of abusing his platform to make derogatory comments about marginalized groups.

Note that some of these senses of ""abuse"" can overlap or be context-dependent, and there may be other senses not listed here. Additionally, the connotations and severity of the different senses of ""abuse"" can vary widely, with some being more serious or harmful than others.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally:
	* The board of directors approved the new marketing strategy.
	* The government approved the construction of a new highway.
2. To accept or ratify something as satisfactory or adequate:
	* The teacher approved the student's term paper.
	* The building inspector approved the construction plans.
3. To show agreement or consent to something:
	* The company approved the sale of the property.
	* The shareholders approved the merger.
4. To express satisfaction or pleasure with something:
	* The customer approved of the service they received.
	* The restaurant approved the feedback from the diner.
5. To give permission or consent to do something:
	* The parent approved the child's request to go to the party.
	* The employer approved the employee's request for a day off.
6. To confirm or verify the accuracy of something:
	* The editor approved the final draft of the manuscript.
	* The quality control team approved the product before it was shipped.
7. To endorse or support someone for a particular position or role:
	* The committee approved the candidate for the position of CEO.
	* The party approved the nominee for the presidency.

These are the main senses of the verb 'approve' when it is used in a transitive clause. Of course, there may be other possible senses depending on the context and the specific words and phrases used with the verb.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""beat"" when it is found in a transitive clause:

1. To overcome or surpass: ""The team beat their rival in the championship game.""
2. To win over or gain the advantage over: ""She beat the incumbent candidate in the election.""
3. To outdo or excel: ""He beat his personal best time in the marathon.""
4. To physically strike or thrash: ""The angry mob beat the protesters with sticks.""
5. To exhaust or tire out: ""Hiking in the mountains beat me down and I had to take a break.""
6. To confound or outsmart: ""The detective beat the criminal by solving the mystery first.""
7. To overcome an obstacle or challenge: ""The company beat the recession by diversifying their products.""
8. To make something into a particular shape or form, often using force or pressure: ""The potter beat the clay into a beautiful vase.""
9. To enjoy or savor something: ""We beat the delicious meal and talked about it for hours.""
10. To be superior or better than something else: ""This new smartphone beats its competitors in terms of features and price.""

And here are some examples of each sense in context:

1. To overcome or surpass:

Example: ""The team beat their rival in the championship game.""

2. To win over or gain the advantage over:

Example: ""She beat the incumbent candidate in the election.""

3. To outdo or excel:

Example: ""He beat his personal best time in the marathon.""

4. To physically strike or thrash:

Example: ""The angry mob beat the protesters with sticks.""

5. To exhaust or tire out:

Example: ""Hiking in the mountains beat me down and I had to take a break.""

6. To confound or outsmart:

Example: ""The detective beat the criminal by solving the mystery first.""

7. To overcome an obstacle or challenge:

Example: ""The company beat the recession by diversifying their products.""

8. To make something into a particular shape or form, often using force"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""belt"" when it is found in a transitive clause:

1. Fasten or secure with a belt: This sense of ""belt"" is used when the verb is followed by a noun that indicates the object being fastened or secured, such as ""He belted his pants"" or ""She belted her dress.""
2. Strike or hit with a belt: This sense of ""belt"" is used when the verb is followed by a noun that indicates the object being struck or hit, such as ""He belted the ball"" or ""She belted the table.""
3. Travel or move at high speed: This sense of ""belt"" is used when the verb is followed by a noun that indicates the means of travel or movement, such as ""The car belted down the highway"" or ""The plane belted through the sky.""
4. Win or succeed easily: This sense of ""belt"" is used when the verb is followed by a noun that indicates the outcome or result of the action, such as ""He belted the election"" or ""She belted the contest.""
5. Use a belt as a weapon: This sense of ""belt"" is used when the verb is followed by a noun that indicates the object being used as a weapon, such as ""He belted his opponent with his leather belt"" or ""She belted the intruder with her heavy belt.""

Note that some of these senses of ""belt"" may overlap or have similar meanings, but they are distinct enough to be considered separate senses. Additionally, there may be other senses of ""belt"" that are not listed here, depending on the context and usage of the verb in different situations.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'break' when it is found in a transitive clause:

1. To shatter or shake apart: This sense of break is often used to describe the destruction or disintegration of objects or materials. Examples:
	* The vase broke into a hundred pieces when it fell to the floor.
	* The storm broke the branch off the tree.
2. To interrupt or disrupt: This sense of break is often used to describe the interruption of an activity or process. Examples:
	* The phone call broke the monotony of the long meeting.
	* The power outage broke the continuity of the movie.
3. To escape or get away: This sense of break is often used to describe the act of escaping or getting away from a situation or place. Examples:
	* The prisoner broke out of jail.
	* The family broke away from the crowd to get some privacy.
4. To fail or cease to function: This sense of break is often used to describe the failure of a system or device. Examples:
	* The computer broke down and had to be restarted.
	* The engine broke and the car had to be towed.
5. To violate or disobey: This sense of break is often used to describe the act of violating a rule or law. Examples:
	* The speed limit break was broken by the driver.
	* The company broke the law by engaging in illegal activities.
6. To bring to an end or terminate: This sense of break is often used to describe the act of ending or terminating a situation or activity. Examples:
	* The party broke up at midnight.
	* The project broke when the funding ran out.
7. To become popular or successful: This sense of break is often used to describe the sudden rise to fame or success of a person or thing. Examples:
	* The new movie broke box office records.
	* The singer broke into the music scene with her hit single.
8. To overcome or surpass: This sense of break is often used to describe the act of overcoming an obstacle or challenge. Examples:
	* The athlete broke the record by a fraction of a second.
	* The team broke through the opposition's"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a software program:

e.g. ""They are building a new office tower.""

2. improve or enhance something, such as a skill or a relationship:

e.g. ""She is building her confidence in public speaking.""

3. assemble or put together something, such as a piece of furniture or a machine:

e.g. ""He is building his new bike from scratch.""

4. establish or strengthen a system or structure, such as a business or a government:

e.g. ""The company is building a new team to expand its operations.""

5. accumulate or increase something, such as wealth or knowledge:

e.g. ""They are building their savings for a down payment on a house.""

6. create or form a connection or relationship between things, such as a network or a community:

e.g. ""The new app is building a platform for artists to showcase their work.""

7. develop or improve a skill or ability, such as a sport or a musical talent:

e.g. ""She is building her tennis game by practicing every day.""

8. create or produce something, such as a work of art or a piece of writing:

e.g. ""He is building a sculpture out of recycled materials.""

9. strengthen or fortify something, such as a structure or a relationship:

e.g. ""They are building a stronger foundation for their business.""

10. construct or create something in a metaphorical sense, such as a reputation or a legacy:

e.g. ""Her actions are building a legacy for future generations.""

I hope that helps! Let me know if you have any further questions.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb ""burn"" when it is found in a transitive clause:

1. To consume or destroy by fire: ""The fire burned down the old warehouse.""
2. To cause intense heat or energy: ""The sun's rays burned down on the desert.""
3. To char or scorch: ""The flames burned the edges of the wood.""
4. To use up or exhaust: ""The engine burned out after a long drive.""
5. To cause emotional pain or distress: ""His words burned me with their cruelty.""
6. To perform a task or activity with great effort or intensity: ""She burned the midnight oil to finish the project on time.""
7. To be highly passionate or dedicated to something: ""He burns with a fierce desire to succeed.""
8. To be under the influence of drugs, especially hallucinogens: ""He burned his brains out on LSD.""
9. To undergo a chemical reaction, such as combustion: ""The fuel burned in the engine.""
10. To experience a strong emotional reaction, such as embarrassment or shame: ""She felt her face burn with humiliation.""

And here are some idiomatic expressions using the verb ""burn"":

1. Burn the midnight oil: work late into the night, often to meet a deadline.
2. Burn bridges: deliberately damage relationships or opportunities, making it difficult to retreat or return.
3. Burn out: become exhausted or drained, often due to overwork or stress.
4. Burn one's boats: take a decisive action that commits one to a particular course of action, with no turning back.
5. Burn one's fingers: suffer the consequences of foolish or reckless behavior.
6. Burn one's candle at both ends: work or party too hard, risking exhaustion or burnout.
7. Burn one's mouth: speak too quickly or carelessly, often with embarrassing results.
8. Burn one's tongue: speak too much or too quickly, often with negative consequences.

I hope that helps! Let me know if you have any other questions.</s>"
9,button,,monosemous
