,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""abuse"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Use wrongly or excessively: This sense of ""abuse"" refers to the act of using something or someone in a way that is not appropriate or intended. For example, ""She abused her power by taking advantage of her subordinates.""
2. Treat cruelly or inflict harm upon: This sense of ""abuse"" refers to the act of causing harm or injury to someone or something, either physically or emotionally. For example, ""He abused his children by beating them.""
3. Use language or behavior to bully or intimidate: This sense of ""abuse"" refers to the act of using language or behavior to coerce or intimidate someone, often with the intention of causing fear or harm. For example, ""The bully abused his victim with hurtful words and threats.""
4. Take advantage of or exploit: This sense of ""abuse"" refers to the act of using someone or something for one's own benefit, often to the detriment of the other party. For example, ""The company abused its position of power by exploiting its workers.""
5. Use drugs or alcohol excessively: This sense of ""abuse"" refers to the act of consuming drugs or alcohol in excessive amounts, often to the point of harming oneself or others. For example, ""He abused prescription drugs by taking them without a prescription.""

I hope this helps! Do you have any other questions?</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support something or someone officially or formally, often after examining evidence or considering different options.

Example sentence: The committee approved the proposal after careful consideration.

2. To give one's assent or agreement to something, often after a thorough examination or discussion.

Example sentence: The board of directors approved the new marketing strategy after a lengthy debate.

3. To express one's satisfaction or pleasure with something, often after experiencing it or observing its effects.

Example sentence: The customer approved of the new restaurant's menu and ambiance.

4. To confirm or ratify something, often after reviewing or inspecting it.

Example sentence: The government approved the construction of the new highway after conducting an environmental impact study.

5. To give one's permission or consent to something, often after considering the potential consequences or risks.

Example sentence: The parent approved the teenager's request to attend the concert after ensuring that the venue was safe and age-appropriate.

Note that some of these senses can be combined or nuanced depending on the context and the intended meaning of the sentence.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""beat"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Defeat: In this sense, ""beat"" means to overcome or defeat someone in a competition, fight, or other challenge. Example: ""The team beat their opponents in the final match.""
2. Physically strike: In this sense, ""beat"" means to physically hit or strike someone or something. Example: ""The boxer beat his opponent with a powerful punch.""
3. Conquer: In this sense, ""beat"" means to overcome or subdue someone or something, often in a military or political context. Example: ""The army beat the enemy in battle.""
4. Exhaust: In this sense, ""beat"" means to tire out or exhaust someone or something. Example: ""The long hike beat us all down.""
5. Cook: In this sense, ""beat"" means to mix or stir something, especially a mixture of ingredients, until it is well combined. Example: ""She beat the eggs and sugar together until they were smooth.""
6. Speed: In this sense, ""beat"" means to move quickly or to be faster than someone or something. Example: ""The car beat us to the finish line.""
7. Music: In this sense, ""beat"" refers to the rhythmic pulse or tempo of music. Example: ""The drummer kept the beat going throughout the song.""
8. Emotional state: In this sense, ""beat"" means to be overcome with emotion, often in a negative way. Example: ""She was beaten down by the news of her father's death.""
9. Overpower: In this sense, ""beat"" means to overpower or overwhelm someone or something, often with a physical or emotional force. Example: ""The waves beat against the shore with tremendous power.""

I hope that helps! Let me know if you have any other questions.</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

When the verb ""belt"" is found in a transitive clause, it can have several distinct senses, including:

1. To encircle or girdle something with a belt: ""She belted her waist with a wide leather belt.""
2. To hit or strike someone with a belt: ""He belted the bully with a leather belt.""
3. To fasten or buckle a belt around one's waist: ""She belted her coat around her waist to keep it from blowing away.""
4. To travel or move at high speed, especially in an aircraft: ""The plane belted down the runway and took off into the sky.""
5. To utter or say something forcefully or vehemently: ""He belted out a loud and angry protest at the injustice.""
6. To sail or move through the water at high speed: ""The speedboat belted across the lake, leaving a trail of foam in its wake.""
7. To exert great effort or energy: ""She belted herself to the task of finishing the project on time.""
8. To cause something to move or operate at high speed: ""The powerful engine belted the car down the highway at over 100 mph.""

I hope that helps! Let me know if you have any other questions.</s>"
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""break"" has several distinct possible senses when it is found in a transitive clause. Here are some of the most common ones:

1. To shatter or shake apart: This sense is often used to describe the physical breaking of objects, such as breaking a glass or breaking a toy.
2. To interrupt or disrupt: This sense is often used to describe breaking a conversation or breaking a routine.
3. To separate or divide: This sense is often used to describe breaking apart a group or breaking up a partnership.
4. To conquer or subdue: This sense is often used to describe breaking a resistance or breaking a record.
5. To reveal or expose: This sense is often used to describe breaking a secret or breaking a story.
6. To damage or destroy: This sense is often used to describe breaking something beyond repair or breaking a rule.
7. To modify or customize: This sense is often used to describe breaking a habit or breaking a pattern.
8. To overcome or surpass: This sense is often used to describe breaking a barrier or breaking a record.
9. To change or alter: This sense is often used to describe breaking a tradition or breaking a routine.
10. To liberate or free: This sense is often used to describe breaking free from constraints or breaking away from a situation.

I hope this helps! Let me know if you have any other questions.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a software program
2. assemble or put together parts or components to form a larger whole
3. establish or develop a system, organization, or structure
4. strengthen or improve something, such as a relationship or a skill
5. accumulate or increase something, such as wealth, knowledge, or experience
6. create or form a foundation or base for something
7. lay the groundwork or prepare the way for something
8. develop or cultivate a talent or skill
9. build up or intensify something, such as a feeling or a situation
10. construct or create a concept or idea.

Note that some of these senses may be more common or acceptable than others, depending on the context in which the verb is used.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, if you were given the verb ""abandon”, you should respond with “1. leave behind; 2. exchange; 3. surrender, give over” since ""abandon"" has three transitive senses. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""burn"" has several distinct possible senses when found in a transitive clause, including:

1. To consume or destroy by fire: ""The fire burned the house to the ground.""
2. To char or scorch something with heat: ""The sun burned the grass in the field.""
3. To cause intense heat or energy: ""The nuclear reactor burned out of control.""
4. To undergo a chemical reaction: ""The fuel burned in the engine.""
5. To suffer injury or damage from heat or flames: ""The pilot was burned in the plane crash.""
6. To feel intense emotion: ""She was burned with shame.""
7. To exhaust or strain something: ""The engine burned out after hours of use.""
8. To perform a task or activity with great energy or effort: ""He burned the midnight oil to finish the project on time.""

I hope that helps! Let me know if you have any other questions.</s>"
9,button,,monosemous
