,verb,llama2 output 1,llama_poly_output
0,abuse,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'abuse' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""abuse"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. To use something or someone for one's own benefit, often in a way that is harmful or exploitative. For example: ""He abused his power by taking bribes.""
2. To treat someone with cruelty or violence, often physically or emotionally. For example: ""She was abused by her ex-husband for years.""
3. To misuse or pervert something, such as a substance or a practice, for one's own gain. For example: ""Some people abuse prescription drugs to get high.""
4. To use something excessively or improperly, often to the point of harm or damage. For example: ""He abused his authority by making unreasonable demands on his employees.""
5. To twist or distort something, such as a fact or a situation, to serve one's own purposes. For example: ""The politician abused the truth by denying the allegations.""
6. To take advantage of someone's trust or vulnerability for personal gain. For example: ""The scammer abused the elderly woman's kindness by stealing her savings.""
7. To subject someone to ridicule or contempt, often in a malicious or hurtful way. For example: ""The bully abused his victim with cruel taunts and jokes.""

I hope this helps! Let me know if you have any other questions.</s>"
1,allow,,monosemous
2,approve,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'approve' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'approve' when it is found in a transitive clause:

1. To endorse or support a decision or action: ""The board of directors approved the new marketing strategy.""
2. To give official sanction or permission: ""The mayor approved the construction of a new park in the city.""
3. To give one's consent or agreement: ""I approved the proposal after careful consideration.""
4. To be in favor of something: ""I approve of the new policy, it's a great idea.""
5. To pass a test or evaluation: ""The candidate approved the background check with flying colors.""
6. To be satisfactory or meet standards: ""The new product approval has been granted after rigorous testing.""
7. To be accepted or ratified by a governing body: ""The treaty was approved by the United Nations.""
8. To be endorsed or supported by a majority: ""The motion was approved by a vote of 10 to 2.""

Note that some of these senses may be more common or acceptable than others, depending on the context and register of the language.</s>"
3,beat,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'beat' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""beat"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Defeat: This sense of ""beat"" refers to winning a competition, contest, or conflict. For example, ""The team beat their opponents in the final match.""
2. Overcome: This sense of ""beat"" means to successfully coping with a challenge or difficulty. For example, ""She beat her addiction to drugs.""
3. Exhaust: This sense of ""beat"" refers to wearing out or tiring someone or something. For example, ""The long journey beat him down.""
4. Intimidate or frighten: This sense of ""beat"" means to scare or intimidate someone. For example, ""The bully beat up the new student.""
5. Sound: This sense of ""beat"" refers to the rhythmic pulse or cadence of music. For example, ""The drummer added a new beat to the song.""
6. Mix: This sense of ""beat"" refers to combining ingredients or elements together. For example, ""She beat the eggs and sugar together to make a cake.""
7. Cook: This sense of ""beat"" means to prepare food by hitting or stirring it repeatedly. For example, ""She beat the meat with a rolling pin to make it tender.""
8. Stir: This sense of ""beat"" refers to moving a mixture or substance around with a tool or object. For example, ""She beat the paint with a stick to mix it evenly.""
9. Whip: This sense of ""beat"" means to strike or lash something repeatedly, often to punish or discipline it. For example, ""The teacher beat the student with a ruler for not paying attention.""
10. Punish: This sense of ""beat"" refers to inflicting pain or punishment on someone. For example, ""The judge sentenced the criminal to a year of hard labor to beat the crime.""

I hope this helps! Let me know if you have any further questions or if you'd like more information on any of these senses of ""beat"".</s>"
4,belt,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'belt' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""belt"" has several distinct possible senses when it is found in a transitive clause. Here are some of them:

1. Fasten or secure with a belt: In this sense, ""belt"" is used to describe the act of fastening or securing something with a belt, such as a piece of clothing or a piece of equipment. For example: ""She belted her coat tightly before heading out into the cold.""
2. Strike or hit with a belt: In this sense, ""belt"" is used to describe the act of hitting or striking someone with a belt, often as a form of punishment or discipline. For example: ""The teacher belted the student for talking out of turn.""
3. Surround or enclose with a belt: In this sense, ""belt"" is used to describe the act of surrounding or enclosing something with a belt, such as a piece of land or a body of water. For example: ""The river belted the town on three sides.""
4. Perform a particular action or activity with great skill or enthusiasm: In this sense, ""belt"" is used to describe the act of performing a particular action or activity with great skill or enthusiasm, often to excess or to an extreme degree. For example: ""He belted out the song with all his might, much to the delight of the audience.""
5. Express strong emotion or excitement: In this sense, ""belt"" is used to describe the act of expressing strong emotion or excitement, often in a loud or exaggerated manner. For example: ""She belted out a loud laugh at the joke.""
6. Move quickly and forcefully, often in a physical or metaphorical sense: In this sense, ""belt"" is used to describe the act of moving quickly and forcefully, often in a physical or metaphorical sense. For example: ""The car belted down the highway at breakneck speed.""
7. Be victorious or successful, often in a decisive or impressive manner: In this sense, ""belt"" is used to describe the act of being victorious or successful, often in a decisive or impressive manner. For example: ""The team belted their opponents in the championship game."""
5,box,,monosemous
6,break,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'break' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""break"" has several distinct senses when it is used in a transitive clause. Here are some of the most common ones:

1. To shatter or destroy something physically: ""She broke the vase.""
2. To interrupt or disrupt something: ""He broke the silence.""
3. To cause something to stop functioning or malfunction: ""The computer broke down.""
4. To separate or divide something: ""She broke up the team.""
5. To cause someone to stop doing something: ""He broke the habit.""
6. To cause someone to lose their concentration or focus: ""The noise broke his train of thought.""
7. To cause someone to feel a strong emotion: ""The news broke her heart.""
8. To cause someone to change their mood or behavior: ""The shocking news broke his spirit.""
9. To cause someone to fail or not meet expectations: ""The test broke him.""
10. To cause someone to abandon or leave something behind: ""She broke off the engagement.""

These are just a few examples of the many possible senses of the verb ""break"" when it is used in a transitive clause. Depending on the context and the specific words used, the meaning of ""break"" can vary significantly.</s>"
7,build,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'build' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'build' when it is found in a transitive clause:

1. construct or create something, such as a building, a machine, or a software program
	* Examples: ""They built a new office complex."" ""He built a car from scratch."" ""The company built a new app for their customers.""
2. assemble or put together something, such as a piece of furniture or a device
	* Examples: ""She built her own bookshelf."" ""He built his own computer."" ""The team built a prototype for their invention.""
3. enhance or improve something, such as a skill or a system
	* Examples: ""They built on their success from last year."" ""She built her confidence with public speaking."" ""The company built on their reputation for quality products.""
4. establish or strengthen a foundation or base, such as a building or a relationship
	* Examples: ""They built a strong foundation for their business."" ""He built a rapport with his clients."" ""The team built a solid reputation for their work.""
5. create or form a structure or framework, such as a plan or a strategy
	* Examples: ""They built a plan for their marketing campaign."" ""She built a strategy for her career growth."" ""The company built a roadmap for their product development.""
6. accumulate or grow something, such as wealth or knowledge
	* Examples: ""They built their wealth over time."" ""She built her expertise in her field."" ""The company built a strong brand over the years.""
7. to create or form something from individual parts or elements, such as a machine or a system
	* Examples: ""He built a car from individual parts."" ""The team built a complex system from multiple components.""
8. to create or form something that is durable or long-lasting, such as a building or a relationship
	* Examples: ""They built a house that will last for generations."" ""She built a strong relationship that will endure through time.""

I hope that helps! Let me know if you have any other questions.</s>"
8,burn,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'burn' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'burn' when it is found in a transitive clause:

1. Consume or destroy by fire: ""The fire burned the wooden table to ashes.""
2. Cause intense heat or pain: ""The hot sauce burned my tongue.""
3. Use up or exhaust a resource: ""I've been burning the midnight oil to meet the deadline.""
4. Cause a strong emotion or reaction: ""Her words burned with anger.""
5. Char or mark with fire: ""The branding iron burned the cow's hide.""
6. Cause a substance to undergo a chemical change by heat: ""The chemist burned the compound in a test tube.""
7. Use up or exhaust a substance by heat: ""The stove burned the gas quickly.""
8. Be intense or fiery: ""The debate burned with passion and intensity.""

Note that some of these senses may have multiple meanings or subtleties, and some may be more common or idiomatic than others. Additionally, the meanings of ""burn"" can vary depending on the context in which it is used, so this list is not exhaustive but rather a general overview of some of the most common senses of the verb.</s>"
9,button,,monosemous
10,cast,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'cast' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure! Here are the distinct possible senses of the verb 'cast' when it is found in a transitive clause:

1. To assign a role or part to someone: ""The director cast the lead actor in the play.""
2. To project or throw something: ""She cast her fishing line into the water.""
3. To vote or assign a ballot: ""The council cast their votes on the proposed budget.""
4. To put or shape something into a particular form: ""The sculptor cast the metal into a beautiful vase.""
5. To predict or prophesy: ""The fortune teller cast a spell to see into the future.""
6. To transmit or broadcast: ""The TV station cast the news report to millions of viewers.""
7. To redirect or reorient something: ""The captain cast the ship's course to avoid the storm.""
8. To evaluate or assess something: ""The judges cast their scores for the dance competition.""

Note that some of these senses may be more common or acceptable than others, depending on the context and register of the language. Additionally, some senses may have multiple related meanings, such as the various meanings of ""cast"" in the context of acting or performing, which are all related to the idea of assigning a role or part to someone.</s>"
11,catch,,"<s> [INST] <<SYS>>
    
    <</SYS>>
    Describe and enumerate the distinct possible senses of the verb 'catch' when it is found in a transitive clause. 
For example, if you were given the verb ""administrate"", you should respond with ""manage"" because ""administrate"" has one transitive sense. 
For another example, the verb ""jump"" has five senses because it has multiple possible meanings when it is used, so you should output something like ""1. stock prices, increase, 2. be excited for an opportunity, getting there first, 3. physically or metaphorically leap, physical motion, 4. to escape, bail out, 5. attack, gangsta style"". [/INST]
    
    Sure, I can help you with that!

The verb ""catch"" has several distinct senses when used in a transitive clause, which I will enumerate and describe below:

1. To seize or take hold of something physical: In this sense, ""catch"" refers to the act of grasping or holding onto an object or person with one's hands or other body parts. For example: ""She caught the ball.""
2. To prevent or hinder something from happening: In this sense, ""catch"" refers to the act of stopping or delaying an event or action from proceeding. For example: ""The teacher caught the student cheating.""
3. To notice or become aware of something: In this sense, ""catch"" refers to the act of recognizing or becoming conscious of something, often unexpectedly. For example: ""I caught a glimpse of the celebrity walking down the street.""
4. To understand or comprehend something: In this sense, ""catch"" refers to the act of grasping the meaning or significance of something, often after it has been explained or demonstrated. For example: ""I finally caught on to the concept after the teacher explained it again.""
5. To contract a disease or condition: In this sense, ""catch"" refers to the act of becoming infected or affected by a medical condition or illness. For example: ""I caught a cold from my sister.""
6. To experience or undergo something unexpected or surprising: In this sense, ""catch"" refers to the act of being taken by surprise or experiencing something unexpected or unusual. For example: ""I caught myself off guard when I saw my ex at the party.""
7. To observe or witness something: In this sense, ""catch"" refers to the act of seeing or experiencing something, often unexpectedly or by chance. For example: ""I caught a parade passing by my window.""

Overall, the verb ""catch"" can have multiple senses depending on the context in which it is used, and the meanings listed above are some of the most common and distinct senses of the verb when used in a transitive clause.</s>"
12,chip,,monosemous
13,chop,,monosemous
14,chuck,,monosemous
15,clean,,monosemous
16,clear,,monosemous
17,coat,,monosemous
