rater_id,sentence_type,naturalness,typicality,verb,sense,sentence,surprisal,freq,rating,verbnet_class
typicality_manual_1,target,natural,typical,arrange,arrange.01: build,The baby arranged the blocks.,163.42044067382812,2289,100,build
typicality_manual_1,target,natural,atypical,arrange,arrange.01: build,The time arranged the blocks.,183.32997131347656,2289,0,build
typicality_manual_1,target,unnatural,typical,arrange,arrange.01: build,The baby arranged the something.,196.86886596679688,2289,100,build
typicality_manual_1,target,unnatural,atypical,arrange,arrange.01: build,The time arranged the something.,182.3008575439453,2289,0,build
typicality_manual_1,target,natural,typical,bounce,"bounce.01: boing boing boing,",The player bounced the ball.,161.37960815429688,666,100,roll
typicality_manual_1,target,natural,atypical,bounce,"bounce.01: boing boing boing,",The player bounced the bottle.,198.2371063232422,666,100,roll
typicality_manual_1,target,unnatural,typical,bounce,"bounce.01: boing boing boing,",The loudly bounced the ball.,144.5186309814453,666,0,roll
typicality_manual_1,target,unnatural,atypical,bounce,"bounce.01: boing boing boing,",The loudly bounced the bottle.,167.24118041992188,666,0,roll
typicality_manual_1,target,natural,typical,bump,bump.01: hit gently,The car bumped the curb.,165.06289672851562,144,100,hit
typicality_manual_1,target,natural,atypical,bump,bump.02: move slightly,The car bumped the chandelier.,216.0089111328125,144,100,hit
typicality_manual_1,target,unnatural,typical,bump,bump.01: hit gently,The gently bumped the curb.,228.57568359375,144,0,hit
typicality_manual_1,target,unnatural,atypical,bump,bump.01: hit gently,The gently bumped the chandelier.,234.87110900878903,144,0,hit
typicality_manual_1,target,natural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the goat.,170.10520935058594,250,100,murder
typicality_manual_1,target,natural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the goat.,188.77130126953125,250,100,murder
typicality_manual_1,target,unnatural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the it.,166.7857208251953,250,0,murder
typicality_manual_1,target,unnatural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the it.,206.9084625244141,250,0,murder
typicality_manual_1,target,natural,typical,carry,"carry.01: bring with, have",The assistant carried the purse.,185.39163208007807,3332,100,carry
typicality_manual_1,target,natural,atypical,carry,"carry.01: bring with, have",The assistant carried the plane.,194.244857788086,3332,100,carry
typicality_manual_1,target,unnatural,typical,carry,"carry.01: bring with, have",The carry carried the purse.,197.551025390625,3332,0,carry
typicality_manual_1,target,unnatural,atypical,carry,"carry.01: bring with, have",The carry carried the plane.,185.0845947265625,3332,0,carry
typicality_manual_1,target,natural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the hedge.,172.2926483154297,555,100,tape
typicality_manual_1,target,natural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the hedge.,174.2945556640625,555,100,tape
typicality_manual_1,target,unnatural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the was.,185.1649475097656,555,0,tape
typicality_manual_1,target,unnatural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the was.,187.5585327148437,555,0,tape
typicality_manual_1,target,natural,typical,deliver,"deliver.01: give, send",The mailman delivered the package.,159.3393096923828,2860,100,send
typicality_manual_1,target,natural,atypical,deliver,"deliver.01: give, send",The mailman delivered the fire.,196.29537963867188,2860,100,send
typicality_manual_1,target,unnatural,typical,deliver,"deliver.01: give, send",The they delivered the package.,178.1490478515625,2860,0,send
typicality_manual_1,target,unnatural,atypical,deliver,"deliver.01: give, send",The they delivered the fire.,183.34393310546875,2860,0,send
typicality_manual_1,target,natural,typical,design,design.01: design,The architect designed the building.,120.15231323242188,4026,100,create
typicality_manual_1,target,natural,atypical,design,design.01: design,The ballerina designed the building.,160.74546813964844,4026,100,create
typicality_manual_1,target,unnatural,typical,design,design.01: design,The architect designed the anything.,137.98626708984375,4026,100,create
typicality_manual_1,target,unnatural,atypical,design,design.01: design,The ballerina designed the anything.,175.46180725097656,4026,100,create
typicality_manual_1,target,natural,typical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the patient.,205.79861450195312,2557,99,banish
typicality_manual_1,target,natural,atypical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the candle.,254.41925048828125,2557,100,banish
typicality_manual_1,target,unnatural,typical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged patient the.,253.80831909179688,2557,0,banish
