rater_id,sentence,rating,sense,verb,typicality,naturalness,sentence_type,surprisal,freq,verbnet_class
3a40f7cb-560a-40fd-8602-746ce0b1bbf1,The baby arranged the something.,65.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
0f9cf17c-cd15-46c4-987c-90fed2c715a2,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
69926755-5e77-413a-af03-ed80781500d1,The baby arranged the something.,100.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
ce357a74-c321-43b1-bf56-de4b86bc0bda,The baby arranged the something.,68.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
97f323f2-d43d-44f2-ac72-cfaef1a40821,The baby arranged the something.,87.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
8a128c3c-1278-476f-ba94-928751dbc138,The baby arranged the something.,37.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
f42e5947-c6af-4124-9fab-4104947ac8fb,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
987e4571-e265-4e54-8fc0-41a24feda467,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
f6ddea8a-a218-4d31-a546-dba9ddee77ba,The baby arranged the something.,53.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
44d872b4-a3c9-42b7-9d24-fcf6ceaeef9a,The baby arranged the something.,66.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
8b40e820-35a4-4d08-85e4-00aa6c50b7b7,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
d68d8d83-5135-46c7-bd45-c81b96d0480c,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
c763af5e-fb19-46ab-94d2-fde6806f10b9,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
78ac422d-4498-4dd0-bd30-23fa866caae6,The baby arranged the something.,4.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
2579ff6c-a9b3-4d39-8289-5b3bc612ffb2,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
ccda209a-1189-4e56-97cd-3081545b7001,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
01c42869-dd26-46fa-927b-282c7d43b251,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
d0dd2df7-a7aa-429a-9186-c7981d9f9df6,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
ed22f1d1-b899-43cf-9487-77c9d2a1ee9a,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
c788f921-c7bc-4e61-b4d9-112296362b06,The baby arranged the something.,43.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
0868ca6a-f623-481a-a13e-18d0e0c1869f,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
a7c62a32-48bf-40f5-b7e6-1c1aa495a05b,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
b7411fcb-20e6-4538-b4fc-623377d8de0b,The baby arranged the something.,50.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
2abe9414-8686-4a7c-91a2-3071f6608ac6,The baby arranged the something.,80.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
92e55338-721d-4563-9f4f-7099a92536db,The baby arranged the something.,6.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
c96a9e67-a98f-43c5-bf35-8b620050bea4,The baby arranged the something.,10.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
05a4e7ed-7fe5-4641-8c7d-c353a8f691b9,The baby arranged the something.,77.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
f22b325a-0df1-4369-af5d-a5c1e2c1f1ec,The baby arranged the something.,20.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
84fc584e-435a-46af-9fb9-ff21f577cea8,The baby arranged the something.,26.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
5e7fde0c-a69d-447a-96d0-8a57dbd51aae,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
4e836ad9-81b7-4eaa-b69e-e45b462cf4d8,The baby arranged the something.,55.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
599be963-63f4-453a-94f1-f7d47a3f7d7e,The baby arranged the something.,99.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
b82ce6fc-fe56-4350-bf54-062a37a959d1,The baby arranged the something.,0.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
de0d0c63-59ec-4e40-b655-e20c50928c8e,The baby arranged the something.,81.0,arrange.01: build,arrange,typical,unnatural,calibration,127.4743881225586,2289,build
